Care Setting ID,Department ID,Setting Type,Description,Address,Contact
33637,4,physical,Psychiatric Ward,"1115 Hicks Green Suite 544, New Tammiefurt, AZ 63973",776-720-9197
92957,1,homecare,Pediatric Ward,"62820 Marcia Union Suite 520, Port Michael, WY 74996",412-924-7605
50412,3,homecare,Psychiatric Ward,"PSC 7710, Box 6762, APO AP 73811",972-763-4269
48430,13,homecare,Surgical Unit,"96313 Miles Ford, North Erinfort, WV 77983",971-353-2340
27745,9,online,Maternity Ward,"7554 Brandy Corner, Jensenborough, IA 84913",450-554-0142
10463,7,physical,Gastroenterology Clinic,"07693 James Rapid, Nielsenstad, OH 11624",373-448-0017
23684,8,online,Emergency Room,"PSC 7454, Box 9628, APO AP 17844",947-328-7823
25087,9,online,Oncology 0artment,"0639 Michael Parkways Suite 157, East Toni, MD 54626",302-904-4775
33889,10,homecare,Oncology 0artment,"5995 Paul Glen Suite 288, Kimport, MN 60610",332-572-0948
11609,11,online,Orthopedic Unit,"620 Lauren Summit Suite 349, Port Johnnytown, SC 60899",441-465-1570
16592,12,homecare,Pediatric Ward,"9668 Lopez Street, North Ricardobury, NC 28845",851-955-0932
63644,13,physical,Psychiatric Ward,"48512 David Station, North Ashleyshire, RI 57092",546-390-2475
16286,14,homecare,Oncology 0artment,"938 Brown Lock Suite 662, Boydshire, NH 30117",762-867-5430
60579,15,online,Orthopedic Unit,"7775 Ortega Keys, South Debbiehaven, NE 55597",913-501-6766
19447,16,online,Cardiology Unit,"57501 Jordan Lodge Apt. 342, Brandonmouth, AR 12794",551-253-5575
